large language model,problem name,concurrency bug
codeqwen:7b,Candidate for lock elision.,"error #1: gov.nasa.jpf.vm.NotDeadlockedProperty ""deadlock encountered:   thread java.lang.Thread:{i..."""
codeqwen:7b,Candidate for lock splitting.,"error #1: gov.nasa.jpf.vm.NoUncaughtExceptionsProperty ""java.util.ConcurrentModificationException  at java..."""
codeqwen:7b,Generating a second's worth of prime numbers.,"error #1: gov.nasa.jpf.vm.NoUncaughtExceptionsProperty ""java.util.ConcurrentModificationException  at java..."""
codeqwen:7b,Immutable Point class used by DelegatingVehicleTracker.,[SEVERE] no static entry method: Point.main([Ljava/lang/String;)V
codeqwen:7b,Returning a static copy of the location set instead of a 'live' one.,"error #1: gov.nasa.jpf.vm.NoUncaughtExceptionsProperty ""java.lang.IllegalArgumentException: Vehicle ID doe..."""
codeqwen:7b,Simulated CAS operation.,Single Thread
codeqwen:7b,Using a factory method to prevent the this reference from escaping during construction.,"error #1: gov.nasa.jpf.vm.NotDeadlockedProperty ""deadlock encountered:   thread java.lang.Thread:{i..."""
codeqwen:7b,Vehicle tracker that safely publishes underlying state.,[SEVERE] no static entry method: PublishingVehicleTracker.main([Ljava/lang/String;)V
codeqwen:7b,Waiting for results to be calculated in parallel.,[SEVERE] no static entry method: Node.main([Ljava/lang/String;)V
codeqwen:7b,Wrapping a Map with a read-write lock.,[SEVERE] no static entry method: ReadWriteMap.main([Ljava/lang/String;)V
codestral:22b,Barrier-based timer.,gov.nasa.jpf.vm.TerminationProperty
codestral:22b,Custom thread base class.,[SEVERE] no static entry method: MyAppThread.main([Ljava/lang/String;)V
codestral:22b,Eager initialization.,gov.nasa.jpf.vm.TerminationProperty
codestral:22b,Immutable Point class used by DelegatingVehicleTracker.,[SEVERE] no static entry method: Point.main([Ljava/lang/String;)V
codestral:22b,Publishing an object.,gov.nasa.jpf.vm.TerminationProperty
codestral:22b,Using interruption for cancellation.,"error #1: gov.nasa.jpf.vm.NotDeadlockedProperty ""deadlock encountered:   thread java.lang.Thread:{i..."""
codestral:22b,Using Semaphore to bound a collection.,NPE
codestral:22b,Wrapping a Map with a read-write lock.,"error #1: gov.nasa.jpf.vm.NoUncaughtExceptionsProperty ""java.lang.Error: java.lang.NoSuchFieldException: t..."""
deepseek-r1:32b,Candidate for lock splitting.,gov.nasa.jpf.vm.TerminationProperty
deepseek-r1:32b,Eager initialization.,gov.nasa.jpf.vm.TerminationProperty
deepseek-r1:32b,Immutable class built out of mutable underlying objects.,"error #1: gov.nasa.jpf.vm.NoUncaughtExceptionsProperty ""java.util.concurrent.ExecutionException: java.lang..."""
deepseek-r1:32b,Monitor-based vehicle tracker implementation.,gov.nasa.jpf.vm.TerminationProperty
deepseek-r1:32b,Nonblocking stack using Treiber's algorithm.,gov.nasa.jpf.vm.TerminationProperty
deepseek-r1:32b,Publishing an object.,gov.nasa.jpf.vm.TerminationProperty
deepseek-r1:32b,Reducing lock duration.,"error #1: gov.nasa.jpf.vm.NoUncaughtExceptionsProperty ""java.lang.Error: java.lang.NoSuchMethodException: ..."""
deepseek-r1:32b,Returning a static copy of the location set instead of a 'live' one.,gov.nasa.jpf.vm.TerminationProperty
deepseek-r1:32b,Wrapping a Map with a read-write lock.,"error #1: gov.nasa.jpf.vm.NoUncaughtExceptionsProperty ""java.lang.Error: java.lang.NoSuchFieldException: t..."""
deepseek-v2:16b,Candidate for lock splitting.,[SEVERE] no static entry method: ServerStatusBeforeSplit.main([Ljava/lang/String;)V
deepseek-v2:16b,Guarding state with a private lock.,NPE
deepseek-v2:16b,Lazy initialization holder class idiom.,"error #1: gov.nasa.jpf.vm.NotDeadlockedProperty ""deadlock encountered:   thread java.lang.Thread:{i..."""
deepseek-v2:16b,ServerStatus refactored to use split locks.,[SEVERE] no static entry method: ServerStatusAfterSplit.main([Ljava/lang/String;)V
deepseek-v2:16b,Simple thread-safe counter using the Java monitor pattern.,NPE
deepseek-v2:16b,Thread-safe lazy initialization.,"error #1: gov.nasa.jpf.vm.NotDeadlockedProperty ""deadlock encountered:   thread java.lang.Thread:{i..."""
dolphin3:8b,Bounded buffer using Semaphore.,"error #1: gov.nasa.jpf.vm.NotDeadlockedProperty ""deadlock encountered:   thread java.lang.Thread:{i..."""
dolphin3:8b,Custom thread factory.,gov.nasa.jpf.vm.TerminationProperty
dolphin3:8b,Generating a second's worth of prime numbers.,"error #1: gov.nasa.jpf.vm.NotDeadlockedProperty ""deadlock encountered:   thread java.lang.Thread:{i..."""
dolphin3:8b,Immutable class built out of mutable underlying objects.,"error #1: gov.nasa.jpf.vm.NoUncaughtExceptionsProperty ""java.lang.UnsupportedOperationException  at java.u..."""
dolphin3:8b,Using CountDownLatch for starting and stopping threads in timing tests.,"error #1: gov.nasa.jpf.vm.NotDeadlockedProperty ""deadlock encountered:   thread java.lang.Thread:{i..."""
gemma2:27b,Candidate for lock elision.,"error #1: gov.nasa.jpf.vm.NoUncaughtExceptionsProperty ""java.lang.NoSuchMethodException: java.lang.String...."""
gemma2:27b,Driver loop that induces deadlock under typical conditions.,"error #1: gov.nasa.jpf.vm.NoUncaughtExceptionsProperty ""java.lang.RuntimeException: Insufficient Funds  at..."""
gemma2:27b,Generating a second's worth of prime numbers.,"error #1: gov.nasa.jpf.vm.NoUncaughtExceptionsProperty ""java.util.ConcurrentModificationException  at java..."""
gemma2:27b,Hash-based map using lock striping.,Single Thread
gemma2:27b,Nonblocking stack using Treiber's algorithm.,gov.nasa.jpf.vm.TerminationProperty
gemma2:27b,Using a volatile field to hold cancellation state.,"error #1: gov.nasa.jpf.vm.NoUncaughtExceptionsProperty ""java.util.ConcurrentModificationException  at java..."""
gemma2:27b,Using interruption for cancellation.,"error #1: gov.nasa.jpf.vm.NotDeadlockedProperty ""deadlock encountered:   thread java.lang.Thread:{i..."""
gemma2:27b,Wrapping a Map with a read-write lock.,"error #1: gov.nasa.jpf.vm.NoUncaughtExceptionsProperty ""java.lang.Error: java.lang.NoSuchFieldException: t..."""
gpt-4o,Bounded buffer using Semaphore.,NPE
gpt-4o,Candidate for lock splitting.,NPE
gpt-4o,Hash-based map using lock striping.,NPE
gpt-4o,Nonblocking counter using CAS.,NPE
gpt-4o,Reducing lock duration.,NPE
gpt-4o,Returning a static copy of the location set instead of a 'live' one.,"error #1: gov.nasa.jpf.vm.NoUncaughtExceptionsProperty ""java.lang.NullPointerException: Calling 'setLocati..."""
gpt-4o,Simulated CAS operation.,NPE
gpt-4o,Thread confinement of local primitive and reference variables.,"error #1: gov.nasa.jpf.vm.NotDeadlockedProperty ""deadlock encountered:   thread java.lang.Thread:{i..."""
gpt-4o,Using Semaphore to bound a collection.,NPE
gpt-4o,Wrapping a Map with a read-write lock.,"error #1: gov.nasa.jpf.vm.NoUncaughtExceptionsProperty ""java.lang.Error: java.lang.NoSuchFieldException: t..."""
gpt-5,Custom thread base class.,state space / path explosion
gpt-5,Driver loop that induces deadlock under typical conditions.,"error #1: gov.nasa.jpf.vm.NotDeadlockedProperty ""deadlock encountered:   thread java.lang.Thread:{i..."""
gpt-5,Implementing put-if-absent using composition.,"error #1: gov.nasa.jpf.vm.NoUncaughtExceptionsProperty ""java.lang.IndexOutOfBoundsException: toIndex = 150..."""
gpt-5,Nonblocking counter using CAS.,NPE
gpt-5,Reducing lock duration.,"error #1: gov.nasa.jpf.vm.NoUncaughtExceptionsProperty ""java.util.concurrent.ExecutionException: java.lang..."""
gpt-5,Wrapping a Map with a read-write lock.,"error #1: gov.nasa.jpf.vm.NoUncaughtExceptionsProperty ""java.lang.Error: java.lang.NoSuchFieldException: t..."""
llama3.3:70b,Driver loop that induces deadlock under typical conditions.,[SEVERE] no static entry method: DollarAmount.main([Ljava/lang/String;)V
llama3.3:70b,Custom thread factory.,gov.nasa.jpf.vm.TerminationProperty
llama3.3:70b,Reducing lock duration.,"error #1: gov.nasa.jpf.vm.NoUncaughtExceptionsProperty ""java.lang.Error: java.lang.NoSuchMethodException: ..."""
llama3.3:70b,ServerStatus refactored to use split locks.,state space / path explosion
llama3.3:70b,Using interruption for cancellation.,"error #1: gov.nasa.jpf.vm.NotDeadlockedProperty ""deadlock encountered:   thread java.lang.Thread:{i..."""
llama3.3:70b,Wrapping a Map with a read-write lock.,"error #1: gov.nasa.jpf.vm.NoUncaughtExceptionsProperty ""java.lang.Error: java.lang.NoSuchFieldException: t..."""
llava:34b,Custom thread factory.,gov.nasa.jpf.vm.TerminationProperty
magicoder:7b,Caching the last result using a volatile reference to an immutable holder object.,"error #1: gov.nasa.jpf.vm.NotDeadlockedProperty ""deadlock encountered:   thread java.lang.Thread:{i..."""
magicoder:7b,Custom thread factory.,gov.nasa.jpf.vm.TerminationProperty
magicoder:7b,Generating a second's worth of prime numbers.,gov.nasa.jpf.vm.TerminationProperty
magicoder:7b,Immutable class built out of mutable underlying objects.,[SEVERE] no static entry method: ThreeStooges.main([Ljava/lang/String;)V
magicoder:7b,Monitor-based vehicle tracker implementation.,Single thread
magicoder:7b,Returning a static copy of the location set instead of a 'live' one.,Single thread
magicoder:7b,Using a volatile field to hold cancellation state.,"error #1: gov.nasa.jpf.vm.NotDeadlockedProperty ""deadlock encountered:   thread java.lang.Thread:{i..."""
magicoder:7b,Wrapping a Map with a read-write lock.,[SEVERE] no static entry method: ReadWriteMap.main([Ljava/lang/String;)V
mistral:7b,Candidate for lock elision.,"error #1: gov.nasa.jpf.vm.NoUncaughtExceptionsProperty ""java.util.concurrent.RejectedExecutionException: T..."""
mistral:7b,Immutable Point class used by DelegatingVehicleTracker.,gov.nasa.jpf.vm.TerminationProperty
mistral:7b,Monitor-based vehicle tracker implementation.,[SEVERE] no static entry method: MutablePoint.main([Ljava/lang/String;)V
mistral:7b,Simple thread-safe counter using the Java monitor pattern.,"error #1: gov.nasa.jpf.vm.NoUncaughtExceptionsProperty ""java.util.concurrent.ExecutionException: java.lang..."""
mistral:7b,Simulated CAS operation.,gov.nasa.jpf.vm.TerminationProperty
mistral:7b,Wrapping a Map with a read-write lock.,"error #1: gov.nasa.jpf.vm.NoUncaughtExceptionsProperty ""java.lang.Error: java.lang.NoSuchFieldException: t..."""
mixtral:8x7b,Custom thread base class.,"error #1: gov.nasa.jpf.vm.NoUncaughtExceptionsProperty ""java.util.concurrent.RejectedExecutionException: T..."""
mixtral:8x7b,Custom thread factory.,gov.nasa.jpf.vm.TerminationProperty
mixtral:8x7b,Delegating thread safety to a ConcurrentHashMap.,gov.nasa.jpf.vm.TerminationProperty
mixtral:8x7b,Eager initialization.,gov.nasa.jpf.vm.TerminationProperty
mixtral:8x7b,Hash-based map using lock striping.,gov.nasa.jpf.vm.TerminationProperty
mixtral:8x7b,Inducing a lock ordering to avoid deadlock.,gov.nasa.jpf.vm.TerminationProperty
mixtral:8x7b,Nonblocking stack using Treiber's algorithm.,gov.nasa.jpf.vm.TerminationProperty
mixtral:8x7b,Reducing lock duration.,"error #1: gov.nasa.jpf.vm.NoUncaughtExceptionsProperty ""java.lang.IllegalArgumentException: Key and Value ..."""
mixtral:8x7b,ServerStatus refactored to use split locks.,gov.nasa.jpf.vm.TerminationProperty
mixtral:8x7b,Simple thread-safe counter using the Java monitor pattern.,gov.nasa.jpf.vm.TerminationProperty
mixtral:8x7b,Thread confinement of local primitive and reference variables.,"error #1: gov.nasa.jpf.vm.NoUncaughtExceptionsProperty ""java.lang.NoSuchMethodError: java.util.stream.Coll..."""
mixtral:8x7b,Wrapping a Map with a read-write lock.,"error #1: gov.nasa.jpf.vm.NoUncaughtExceptionsProperty ""java.lang.Error: java.lang.NoSuchFieldException: t..."""
opencoder:8b,Delegating thread safety to a ConcurrentHashMap.,gov.nasa.jpf.vm.TerminationProperty
opencoder:8b,Driver loop that induces deadlock under typical conditions.,gov.nasa.jpf.vm.TerminationProperty
opencoder:8b,Inducing a lock ordering to avoid deadlock.,gov.nasa.jpf.vm.TerminationProperty
opencoder:8b,Monitor-based vehicle tracker implementation.,[SEVERE] no static entry method: MutablePoint.main([Ljava/lang/String;)V
opencoder:8b,Publishing an object.,gov.nasa.jpf.vm.TerminationProperty
opencoder:8b,Thread confinement of local primitive and reference variables.,"error #1: gov.nasa.jpf.vm.NoUncaughtExceptionsProperty ""java.lang.IllegalArgumentException: Each species m..."""
opencoder:8b,Using a factory method to prevent the this reference from escaping during construction.,"error #1: gov.nasa.jpf.vm.NotDeadlockedProperty ""deadlock encountered:   thread java.lang.Thread:{i..."""
opencoder:8b,Using CountDownLatch for starting and stopping threads in timing tests.,"error #1: gov.nasa.jpf.vm.NotDeadlockedProperty ""deadlock encountered:   thread java.lang.Thread:{i..."""
phi4:14b,Using CountDownLatch for starting and stopping threads in timing tests.,"error #1: gov.nasa.jpf.vm.NotDeadlockedProperty ""deadlock encountered:   thread java.lang.Thread:{i..."""
phi4:14b,Using interruption for cancellation.,"error #1: gov.nasa.jpf.vm.NotDeadlockedProperty ""deadlock encountered:   thread java.lang.Thread:{i..."""
phi4:14b,Wrapping a Map with a read-write lock.,"error #1: gov.nasa.jpf.vm.NoUncaughtExceptionsProperty ""java.lang.Error: java.lang.NoSuchFieldException: t..."""
phind-codellama:34b,Custom thread base class.,state space / path explosion
phind-codellama:34b,Custom thread factory.,gov.nasa.jpf.vm.TerminationProperty
phind-codellama:34b,Delegating thread safety to a ConcurrentHashMap.,"error #1: gov.nasa.jpf.vm.NoUncaughtExceptionsProperty ""java.lang.NullPointerException: Calling 'setLocati..."""
phind-codellama:34b,Hash-based map using lock striping.,gov.nasa.jpf.vm.TerminationProperty
phind-codellama:34b,Immutable class built out of mutable underlying objects.,Single thread
phind-codellama:34b,Inducing a lock ordering to avoid deadlock.,[SEVERE] no static entry method: InsufficientFundsException.main([Ljava/lang/String;)V
phind-codellama:34b,Monitor-based vehicle tracker implementation.,"error #1: gov.nasa.jpf.vm.NoUncaughtExceptionsProperty ""java.lang.AssertionError: java.lang.CloneNotSuppor..."""
phind-codellama:34b,Reducing lock duration.,"error #1: gov.nasa.jpf.vm.NoUncaughtExceptionsProperty ""java.util.concurrent.ExecutionException: java.lang..."""
phind-codellama:34b,ServerStatus refactored to use split locks.,"error #1: gov.nasa.jpf.vm.NoUncaughtExceptionsProperty ""java.lang.UnsupportedOperationException  at java.i..."""
phind-codellama:34b,Using FutureTask to preload data that is needed later.,"error #1: gov.nasa.jpf.vm.NoUncaughtExceptionsProperty ""java.lang.RuntimeException: Failed to load data: D..."""
phind-codellama:34b,Vehicle tracker that safely publishes underlying state.,Single thread
phind-codellama:34b,Waiting for results to be calculated in parallel.,[SEVERE] no static entry method: Element.main([Ljava/lang/String;)V
qwen3:32b,Delegating thread safety to a ConcurrentHashMap.,gov.nasa.jpf.vm.TerminationProperty
qwen3:32b,Eager initialization.,gov.nasa.jpf.vm.TerminationProperty
qwen3:32b,Hash-based map using lock striping.,gov.nasa.jpf.vm.TerminationProperty
qwen3:32b,Immutable class built out of mutable underlying objects.,gov.nasa.jpf.vm.TerminationProperty
qwen3:32b,Immutable holder for caching a number and its factors.,gov.nasa.jpf.vm.TerminationProperty
qwen3:32b,Lazy initialization holder class idiom.,gov.nasa.jpf.vm.TerminationProperty
qwen3:32b,Nonblocking stack using Treiber's algorithm.,gov.nasa.jpf.vm.TerminationProperty
qwen3:32b,Publishing an object.,gov.nasa.jpf.vm.TerminationProperty
qwen3:32b,Simple thread-safe counter using the Java monitor pattern.,gov.nasa.jpf.vm.TerminationProperty
qwen3:32b,Thread-safe lazy initialization.,gov.nasa.jpf.vm.TerminationProperty
qwen3:32b,Using interruption for cancellation.,gov.nasa.jpf.vm.TerminationProperty
qwen3:32b,Wrapping a Map with a read-write lock.,"error #1: gov.nasa.jpf.vm.NoUncaughtExceptionsProperty ""java.lang.Error: java.lang.NoSuchFieldException: t..."""
stable-code:3b,Candidate for lock splitting.,[SEVERE] no static entry method: ServerStatusBeforeSplit.main([Ljava/lang/String;)V
stable-code:3b,Wrapping a Map with a read-write lock.,[SEVERE] no static entry method: ReadWriteMap.main([Ljava/lang/String;)V
starcoder2:15b,Candidate for lock splitting.,[SEVERE] no static entry method: ServerStatusBeforeSplit.main([Ljava/lang/String;)V
starcoder2:15b,Custom thread factory.,Single Thread
starcoder2:15b,Immutable class built out of mutable underlying objects.,Single Thread
starcoder2:15b,Immutable Point class used by DelegatingVehicleTracker.,Single Thread
starcoder2:15b,Simple thread-safe counter using the Java monitor pattern.,[SEVERE] no static entry method: Counter.main([Ljava/lang/String;)V
starcoder2:15b,Thread-safe lazy initialization.,Single Thread
vicuna:33b,Simulated CAS operation.,[SEVERE] no static entry method: SimulatedCAS.main([Ljava/lang/String;)V
vicuna:33b,Using a volatile field to hold cancellation state.,state space / path explosion
vicuna:33b,Wrapping a Map with a read-write lock.,"error #1: gov.nasa.jpf.vm.NoUncaughtExceptionsProperty ""java.lang.Error: java.lang.NoSuchFieldException: t..."""
wizardcoder:33b,Barrier-based timer.,gov.nasa.jpf.vm.TerminationProperty
wizardcoder:33b,Bounded buffer using Semaphore.,NPE
wizardcoder:33b,Caching the last result using a volatile reference to an immutable holder object.,"error #1: gov.nasa.jpf.vm.NotDeadlockedProperty ""deadlock encountered:   thread java.lang.Thread:{i..."""
wizardcoder:33b,Custom thread base class.,gov.nasa.jpf.vm.TerminationProperty
wizardcoder:33b,Generating a second's worth of prime numbers.,"error #1: gov.nasa.jpf.vm.NotDeadlockedProperty ""deadlock encountered:   thread java.lang.Thread:{i..."""
wizardcoder:33b,Hash-based map using lock striping.,gov.nasa.jpf.vm.TerminationProperty
wizardcoder:33b,Implementing put-if-absent using composition.,NPE
wizardcoder:33b,Monitor-based vehicle tracker implementation.,Single Thread
wizardcoder:33b,Reducing lock duration.,gov.nasa.jpf.vm.TerminationProperty
wizardcoder:33b,Returning a static copy of the location set instead of a 'live' one.,"error #1: gov.nasa.jpf.vm.NoUncaughtExceptionsProperty ""java.util.concurrent.ExecutionException: java.lang..."""
wizardcoder:33b,ServerStatus refactored to use split locks.,NPE
wizardcoder:33b,Simple thread-safe counter using the Java monitor pattern.,gov.nasa.jpf.vm.TerminationProperty
wizardcoder:33b,Simulated CAS operation.,NPE
wizardcoder:33b,Thread confinement of local primitive and reference variables.,"error #1: gov.nasa.jpf.vm.NoUncaughtExceptionsProperty ""java.lang.ClassCastException: java.util.Comparator..."""
zephyr:7b,Candidate for lock splitting.,NPE
